Name,Rating,Type,Price Level,Total_user_rating,Locality,Lat,Lng,Region
Sinhgad Laundry Service,4.2,laundry,2,6,Ambegaon BK,18.4626006,73.836182,R4
Sinhgad Law College,4.4,university,2,108,Ambegaon BK,18.4637979,73.8362011,R4
STAR GYM,3.4,gym,2,30,Ambegaon BK,18.4449891,73.8489108,R4
SWAMI SAMARTH,0,laundry,2,0,Ambegaon BK,18.465006,73.818233,R4
Youthville Boys Hostel,0,lodging,2,0,Ambegaon BK,18.4631362,73.8166324,R4
Kishor Car Wash,2,car_wash,2,2,Ambegaon BK,18.4530385,73.8369211,R4
Pooja Jewellery,5,jewelry_store,2,1,Ambegaon BK,18.4516338,73.8374664,R4
Vijay Book Store,3.2,book_store,2,5,Ambegaon BK,18.4530421,73.8369375,R4
"Shree Kitchen, Pune",3.8,furniture_store,2,11,Ambegaon Khurd,18.443987,73.843964,R4
om sai washing centre,0,car_wash,2,0,Ambegaon Pathar,18.458778,73.842642,R4
Sai Dry cleaner's,0,laundry,2,0,Ambegaon Pathar,18.4587558,73.8426428,R4
Sidhhivinayak Washing Centre,2.8,car_wash,2,4,Ambegaov Bk,18.459182,73.835677,R4
A Mart,4.2,supermarket,2,26,Anand Nagar,18.4777027,73.8198584,R4
"AADD(M) AADD(B), Sinhgad Road, Pune",3.9,cafe,2,87,Anand Nagar,18.4706292,73.8240665,R4
Aaiji Super Market,4.5,supermarket,2,2,Anand Nagar,18.5067346,73.8147042,R4
Aakanksha,0,clothing_store,2,0,Anand Nagar,18.503841,73.8283828,R4
Ashok Traders,0,clothing_store,2,0,Anand Nagar,18.5067346,73.8147042,R4
Charlies Shopping Centre Homeland,4.5,shopping_mall,2,6,Anand Nagar,18.5067346,73.8147042,R4
Durga Cafe,3.7,cafe,1,198,Anand Nagar,18.471813,73.8215911,R4
Hanuman Super Market,0,supermarket,2,0,Anand Nagar,18.4733354,73.8216028,R4
Hello Pets,4.8,pet_store,2,5,Anand Nagar,18.4762178,73.8211198,R4
Hello Pet's,3.4,aquarium,2,8,Anand Nagar,18.473902,73.820946,R4
Indian Oil Petrol Pump,3.5,gas_station,2,2306,Anand Nagar,18.4713025,73.8211835,R4
Khade Washing Center,3.9,car_wash,2,18,Anand Nagar,18.4754017,73.8158113,R4
Maitrin,0,beauty_salon,2,0,Anand Nagar,18.477016,73.8177888,R4
Sai Drycleaners,4.5,laundry,2,2,Anand Nagar,18.476977,73.8331,R4
Sai Foam Washing And Gressing Center,3.8,car_wash,2,18,Anand Nagar,18.4732721,73.8110437,R4
Sanskruti,5,jewelry_store,2,1,Anand Nagar,18.4785591,73.8238985,R4
Tanishq Jewellery - Sinhagadroad,4.2,jewelry_store,2,306,Anand Nagar,18.4758786,73.8224495,R4
The Green Roof,4,night_club,2,2420,Anand Nagar,18.473107,73.8212622,R4
"URO Fitness Club Best Gym in Sinhgad Road, Best Gym Equipment, Near by,",3.5,gym,2,221,Anand Nagar,18.4682549,73.8196697,R4
Vicky's Den,5,night_club,2,4,Anand Nagar,18.4785953,73.8168884,R4
Vijay Laundry Drycleaners,1,laundry,2,1,Anand Nagar,18.5067346,73.8147042,R4
Vinayak hardware and Paints,4.1,hardware_store,2,56,Anand Nagar,18.575935,73.818726,R4
Orbett Hotels,3.8,lodging,2,1289,Apte Road,18.5201105,73.8435868,R1
Shree Harikrishna Hardware,4.8,hardware_store,2,6,Ashish Garden,18.5018558,73.8021132,R1
A Big Indian Story,4.2,shoe_store,2,10,Ashok Chakra Society,18.5334693,73.8994639,R5
Ananda Sangha Pune,4.6,book_store,2,142,Ashok Nagar,18.5432844,73.8326829,R3
E Square Carnival,4.1,movie_theater,2,32252,Ashok Nagar,18.5377351,73.8354313,R3
Lizze's Aspen Spa,4,spa,2,30,Ashok Nagar,18.53765,73.8353036,R3
Shopping Arcade,3.8,shopping_mall,2,14,Ashok Nagar,18.5378164,73.8354367,R3
Gadgetic World,0,electronics_store,2,0,Aundh,18.562738,73.802321,R3
Legato,4,beauty_salon,2,1,Aundh,18.5602138,73.8054445,R3
5 star pets and pet clinic,5,pet_store,2,34,Aundh,18.5637928,73.802894,R3
Aarogya Siddhi Yog,4.8,gym,2,84,Aundh,18.5575983,73.8004955,R3
Abhi Computers,4,electronics_store,2,5,Aundh,18.5609243,73.8122687,R3
adidas,4,shoe_store,2,386,Aundh,18.561714,73.807226,R3
Adinath Electrical,0,beauty_salon,2,0,Aundh,18.5575122,73.8095344,R3
Aditya Birla Retail Limited,3.7,supermarket,2,7,Aundh,18.5567427,73.806915,R3
AIMTEC Point IT Institute &Sales-Service,5,electronics_store,2,4,Aundh,18.560285,73.801935,R3
Ajit Footwear,5,shoe_store,2,1,Aundh,18.5606253,73.8030897,R3
Ambica Hardware,4,hardware_store,2,1,Aundh,18.554969,73.805927,R3
Anil Medicos-A Complete Pet Shop,3.8,pet_store,2,10,Aundh,18.5638822,73.8128156,R3
Anjali Wadhwani Couture,4.5,clothing_store,2,37,Aundh,18.5607452,73.8051602,R3
Annapurna,3.8,lodging,2,34,Aundh,18.5614759,73.803928,R3
AquaTint Auto Detailing Studio,4.5,car_wash,2,167,Aundh,18.56577,73.801474,R3
"Arkin- NATA, NIFT, CEED, NID Classes",4.4,university,2,7,Aundh,18.561007,73.802766,R3
Art Of Living Followup Center,4.3,gym,2,12,Aundh,18.5590013,73.8019155,R3
Asha Footwear,4,shoe_store,2,1,Aundh,18.5608333,73.803029,R3
Attire,0,clothing_store,2,0,Aundh,18.5652435,73.8012167,R3
Attitude online store,4.8,clothing_store,2,23,Aundh,18.5601649,73.8031335,R3
Aura Thai Spa & Salon,3.9,beauty_salon,2,192,Aundh,18.5523007,73.8091306,R3
Autopfleg car wash,3.9,car_wash,2,15,Aundh,18.552613,73.803539,R3
Ayurveda-Zone Panchakarma,3.9,beauty_salon,2,24,Aundh,18.56063,73.805863,R3
Balaji Mattresses,3.2,furniture_store,2,5,Aundh,18.561937,73.802979,R3
Bata,3.8,shoe_store,2,443,Aundh,18.5606721,73.805989,R3
Bata,5,shoe_store,2,1,Aundh,18.561619,73.806915,R3
Bata Shoe Store,5,shoe_store,2,1,Aundh,18.5611333,73.8061797,R3
BED & BEDDING CO. - The Mattress Store (Aundh),4.8,furniture_store,2,54,Aundh,18.553358,73.8067614,R3
Bharat Furnishings,4,furniture_store,2,81,Aundh,18.546049,73.820989,R3
"Bharat Petroleum, Petrol Pump -Mauli Petroleum",3.4,gas_station,2,2897,Aundh,18.5552204,73.7999886,R3
"Biorhythm Fitness Studio, Pune",4.8,gym,2,40,Aundh,18.556278,73.808799,R3
Black Swan Journeys,5,travel_agency,2,7,Aundh,18.555287,73.80522,R3
BODY BASICS (MEN),3.3,night_club,2,45,Aundh,18.5660932,73.8072564,R3
CADD Centre Pune AutoCAD Course CAD CAM Catia Training Institute Ansys Creo solidworks VRay 3ds Max Sketchup MEP Revit Classes Staad Pro Etabs near me,4.8,university,2,813,Aundh,18.5604534,73.8086218,R3
Cafe Buddy's Espresso Aundh,4.1,cafe,2,79,Aundh,18.5653112,73.8010039,R3
Cafe Chokolade,3.8,cafe,2,207,Aundh,18.5539538,73.8050795,R3
Camshot,4.4,electronics_store,2,5,Aundh,18.5600382,73.8094997,R3
Capital O 655 Hotel Aundh Retreat,3.1,lodging,2,544,Aundh,18.5599952,73.8061192,R3
Car Wash,0,car_wash,2,0,Aundh,18.5530581,73.8036358,R3
Cara Caf̩,3,cafe,2,1,Aundh,18.5578827,73.8084259,R3
Care It Detailerz Pvt Ltd,4.8,car_wash,2,63,Aundh,18.5614394,73.8047865,R3
Casio Exclusive Store,4,electronics_store,2,1122,Aundh,18.5606105,73.8092547,R3
Champion Sports Ware,3.6,clothing_store,2,39,Aundh,18.5663724,73.8072681,R3
Chaos Lounge Westend Mall Aundh,3.8,night_club,2,173,Aundh,18.5616895,73.8072021,R3
Cin̩polis - WestEnd Mall,4.3,movie_theater,2,21023,Aundh,18.5619444,73.8069444,R3
Clean Car Door Step Washing Services,0,car_wash,2,0,Aundh,18.5626349,73.808937,R3
ColorPlus Fashions Ltd,4.7,clothing_store,2,3,Aundh,18.5616968,73.8070177,R3
COLOUR PLUS,4.4,clothing_store,2,5,Aundh,18.5611279,73.8070768,R3
Construction Project Planning & Management Courses MS Project Training in Pune MSP Course P6 Web Course Primavera Training Quantity Estimation Courses,5,university,2,19,Aundh,18.5603222,73.808633,R3
Creations,5,furniture_store,2,1,Aundh,18.557506,73.809721,R3
Croma,4,electronics_store,2,4385,Aundh,18.553681,73.8069641,R3
Crossword,4.4,book_store,2,6132,Aundh,18.5562438,73.8089729,R3
D Mart Aundh,4.2,supermarket,2,25054,Aundh,18.5667512,73.8071964,R3
De Luxe Drycleaners,4,laundry,2,3,Aundh,18.558007,73.8075201,R3
Discounted Bazaar,0,shopping_mall,2,0,Aundh,18.558432,73.821321,R3
Divya Xerox,4.3,book_store,2,24,Aundh,18.5559972,73.8090206,R3
Doves - Boutique Hotels & Resorts,3.6,lodging,2,243,Aundh,18.5565395,73.8006908,R3
DR. Ambedkar College,3,university,2,2,Aundh,18.566093,73.8107882,R3
Dr. Babasaheb Ambedkar College,4.1,university,2,71,Aundh,18.5661404,73.8100764,R3
Enrich Boutique,3.1,clothing_store,2,11,Aundh,18.5622908,73.807595,R3
Enrich Nail Studio,3.9,beauty_salon,2,514,Aundh,18.5552487,73.8099165,R3
Ethnic Story - Women's Clothing & Boutique,4,clothing_store,2,85,Aundh,18.5595544,73.8032096,R3
Euphoria Delight Spa,4,spa,2,121,Aundh,18.5530708,73.8088151,R3
FabHotel Rajwada,3.8,lodging,2,1846,Aundh,18.5494314,73.8039916,R3
Fabricspa,2.7,laundry,2,21,Aundh,18.5532913,73.8068573,R3
Fabricspa,2.7,laundry,2,21,Aundh,18.5532913,73.8068573,R3
Fahrenheit Salon,4,beauty_salon,2,223,Aundh,18.5544087,73.80472,R3
Featherlite Collections,3.7,furniture_store,2,39,Aundh,18.565119,73.807036,R3
Femina,4.3,clothing_store,2,16,Aundh,18.5535422,73.8077078,R3
FEMINA,1,clothing_store,2,1,Aundh,18.4792696,73.8713099,R3
Fish N Exotica,1,pet_store,2,1,Aundh,18.5468973,73.819857,R3
FIT & FAIR BEAUTY SALON,3.8,beauty_salon,2,33,Aundh,18.5624139,73.802924,R3
Fortune,0,lodging,2,0,Aundh,18.547153,73.8184263,R3
Fresh Fish and chicken,0,pet_store,2,0,Aundh,18.5606374,73.8029206,R3
GINI & JONY,3,clothing_store,2,5,Aundh,18.558007,73.80752,R3
GL:the garment store,5,clothing_store,2,2,Aundh,18.5591392,73.8088758,R3
GlamUp Women Fitness Club,2,gym,2,0,Aundh,18.5566765,73.8092094,R3
"Global Desi Women Clothing Store Westend Mall, Mumbai",3.9,clothing_store,2,11,Aundh,18.561246,73.80715,R3
Gold's Gym Aundh,4.2,gym,2,425,Aundh,18.553572,73.807628,R3
Head To Toes Salon,4,beauty_salon,2,78,Aundh,18.5610758,73.8051019,R3
Heads Up For Tails Pet Store,4.7,pet_store,2,64,Aundh,18.5605636,73.8043737,R3
HER N SHE,3.7,shopping_mall,2,38,Aundh,18.5655502,73.8077278,R3
Herbalife Indipendent Associate,3.8,gym,2,5,Aundh,18.5648115,73.8115251,R3
HKGN CAR DCORATORS & SERVICES STATION,4.6,car_wash,2,19,Aundh,18.5656046,73.8007553,R3
I & B Travel Consultants,0,travel_agency,2,0,Aundh,18.5604709,73.8032556,R3
IFB Point - Anudh,4.1,furniture_store,2,30,Aundh,18.5609748,73.8124836,R3
IMARA,3.3,clothing_store,2,3,Aundh,18.5617212,73.8069594,R3
"Innovation Care, We take pride in being the pioneers in the cosmetic hair restoration business transforming lives & bringing back the lost confidence & happiness to our clients. Established in the year 1996,",4.7,beauty_salon,2,102,Aundh,18.5607542,73.8036443,R3
Institute of Advanced Studies in English,5,university,2,3,Aundh,18.5596962,73.8012746,R3
Ira Systems Technologies,3.9,electronics_store,2,21,Aundh,18.5652417,73.8005176,R3
"Ishaan, Consulting Engineers & Electrical Contractors",3,car_repair,2,2,Aundh,18.5564412,73.8081456,R3
J K Tours & Travels,1,travel_agency,2,1,Aundh,18.558007,73.8075201,R3
Jai Ganesh Tours & Travels,0,travel_agency,2,0,Aundh,18.5634979,73.8025402,R3
Jai Hind,3.9,clothing_store,2,138,Aundh,18.5602458,73.8088911,R3
JESSE BEAUTY SALON AND SPA,4,beauty_salon,2,155,Aundh,18.5650578,73.8020861,R3
Journeys Tours & Travels - Best Holiday Tour Packages | Honeymoon Packages | Budget Packages,4.8,travel_agency,2,122,Aundh,18.5657215,73.8069114,R3
JUST DOGS,4.7,pet_store,2,120,Aundh,18.5578547,73.8041961,R3
Just Dogs,0,pet_store,2,0,Aundh,18.553697,73.8073406,R3
K K Service,4,car_repair,2,2,Aundh,18.5623609,73.8029859,R3
K K Services,3.4,car_repair,2,15,Aundh,18.5639169,73.7968176,R3
Kabir Cleaning Specialiites,4.5,laundry,2,4,Aundh,18.5575122,73.8095344,R3
Kesari Tours Aundh,3.4,travel_agency,2,30,Aundh,18.566394,73.8076701,R3
Kinnrpatti Mandir Chauha Niwas,0,pet_store,2,0,Aundh,18.5657204,73.7982092,R3
Kirti Book & stationary Agency,3.9,book_store,2,320,Aundh,18.5641581,73.8131557,R3
Kirti Digital,3.9,electronics_store,2,360,Aundh,18.5608602,73.8126386,R3
Kitchen Cart,0,furniture_store,2,0,Aundh,18.5575122,73.8095344,R3
Kit's Tattoo Studio And Training Institute,4.9,cafe,2,733,Aundh,18.5555478,73.8090806,R3
Klassy Furnishers Private Limited,0,furniture_store,2,0,Aundh,18.5575122,73.8095344,R3
Koko Karamel,3,cafe,2,1,Aundh,18.5594008,73.8036792,R3
Kumon Maths & English Classes: Best Kids Learning Centre in Aundh,4.5,university,2,2,Aundh,18.5602501,73.8058581,R3
La Sensa,4,clothing_store,2,1,Aundh,18.565323,73.801299,R3
Lagu Bandhu,4.1,jewelry_store,2,296,Aundh,18.5460956,73.8206763,R3
Laptech Solution Pvt Ltd,1,electronics_store,2,1,Aundh,18.5610277,73.8133666,R3
Laxmi Pearls,4.1,jewelry_store,2,37,Aundh,18.5607601,73.8129916,R3
LazyGreens,4,cafe,2,2,Aundh,18.5629996,73.8078135,R3
LINUX LAB (Linux|AWS Cloud|VMware),4.3,university,2,31,Aundh,18.5630674,73.7998718,R3
Live Innovative Service Apartments,4,lodging,2,30,Aundh,18.5549864,73.8098594,R3
Living Bridge,4.8,university,2,36,Aundh,18.563952,73.8047331,R3
Mahalaxmi Service Center,4.5,car_repair,2,6,Aundh,18.5657698,73.8113417,R3
Making Headlines,4.6,spa,2,196,Aundh,18.5557655,73.804105,R3
Marks & Spencer,4.1,clothing_store,2,91,Aundh,18.5615434,73.8071238,R3
Massive Enterprise,4.5,hardware_store,2,13,Aundh,18.5603174,73.7989987,R3
Max,4.1,clothing_store,2,2010,Aundh,18.5610631,73.8069722,R3
Miturismo Holidays Pvt. Ltd.,4.8,travel_agency,2,158,Aundh,18.560835,73.810914,R3
Moraya Travels,4,travel_agency,2,1,Aundh,18.5649896,73.8092844,R3
M-Tech Digital Services,5,electronics_store,2,1,Aundh,18.5617939,73.8029937,R3
Nediva Lifestyle - Expressive Semiprecious Jewellery | Paintings | Artifacts,0,jewelry_store,2,0,Aundh,18.5465741,73.8197819,R3
New Music Palace,3.9,electronics_store,2,284,Aundh,18.5637928,73.802894,R3
New Royal Cars,4.1,car_wash,2,16,Aundh,18.565665,73.800977,R3
Niks International Salon Aundh,4.2,beauty_salon,2,186,Aundh,18.5545007,73.8050593,R3
Nirmayee Nature Cure Centre Best Naturopathy Centre in Pune,4.6,spa,2,17,Aundh,18.5476159,73.8161631,R3
Nirus,5,clothing_store,2,1,Aundh,18.5595094,73.8030548,R3
NONAS HANDMADE JEWELLERY,5,jewelry_store,2,3,Aundh,18.561844,73.807186,R3
NR Comps InfoTech,0,electronics_store,2,0,Aundh,18.555359,73.809607,R3
Omkar Hardware & Electricals,5,hardware_store,2,1,Aundh,18.5610073,73.8027429,R3
Omkar Hardware & Paint,0,hardware_store,2,0,Aundh,18.558007,73.80752,R3
Ora Regenesis Spa,4.1,beauty_salon,2,187,Aundh,18.5547054,73.8094861,R3
OYO 22124 Hotel Lotus Residency,3.8,lodging,2,400,Aundh,18.5568148,73.8005326,R3
P3 The Lounge Bar,4.1,night_club,2,50,Aundh,18.5566935,73.8088188,R3
Pancham Jewellers,4.5,jewelry_store,2,8,Aundh,18.56106,73.813695,R3
Param Yoga,4.3,gym,2,19,Aundh,18.5571415,73.8006918,R3
Park Avenue,3.9,clothing_store,2,21,Aundh,18.5614268,73.8069463,R3
Passion Fitness,4.2,gym,2,117,Aundh,18.565017,73.8022022,R3
Pehnava Boutique,3.5,clothing_store,2,23,Aundh,18.5578674,73.8050288,R3
Perfume,1,clothing_store,2,1,Aundh,18.5575122,73.8095344,R3
Persona Furnishing Aundh,3.9,furniture_store,2,23,Aundh,18.5605769,73.8029661,R3
PnD Group,3,travel_agency,2,1,Aundh,18.5575122,73.8095344,R3
PNG Sons Aundh P N Gadgil & Sons,4.2,jewelry_store,2,2616,Aundh,18.563949,73.807163,R3
Prem Hardware & Electricals,0,hardware_store,2,0,Aundh,18.560424,73.8075859,R3
Princess,0,clothing_store,2,0,Aundh,18.5585714,73.803905,R3
Priority International Holiday Club Pvt Ltd,1.4,travel_agency,2,116,Aundh,18.5555655,73.8095239,R3
PUMA,3.5,shoe_store,2,38,Aundh,18.5617707,73.8071706,R3
PUMA,3.5,clothing_store,2,38,Aundh,18.5617707,73.8071706,R3
Pune Drivers & Car rental Services,4.4,travel_agency,2,33,Aundh,18.5660274,73.8125466,R3
Rawat Furniture - Aundh,3.2,furniture_store,2,44,Aundh,18.5656338,73.8070636,R3
Ray Ethnic,4.3,clothing_store,2,3,Aundh,18.5616454,73.806948,R3
Raymond - Ready to Wear,4.1,shoe_store,2,366,Aundh,18.5617868,73.8068811,R3
Reliance Digital,3.9,electronics_store,2,696,Aundh,18.5634607,73.8070747,R3
Reliance Fresh,3.8,supermarket,2,1350,Aundh,18.5574136,73.804545,R3
Reliance Smart,4.1,supermarket,2,5536,Aundh,18.5635093,73.8071759,R3
Residence Twenty,3.4,lodging,2,11,Aundh,18.560382,73.8109591,R3
Response Alarms,4.8,electronics_store,2,6,Aundh,18.555414,73.809602,R3
Rhea Travels,0,travel_agency,2,0,Aundh,18.5579168,73.8154394,R3
ROHINI'S BEAUTY SALON FOR LADIES ONLY,3.5,beauty_salon,2,65,Aundh,18.5553075,73.8089066,R3
Roughtaar automotive car care studio.,5,car_wash,2,10,Aundh,18.5655775,73.8009133,R3
RUOSH Aundh,4,shoe_store,2,81,Aundh,18.5547411,73.8095239,R3
RUOSH Westend Mall Aundh,4.1,shoe_store,2,111,Aundh,18.561681,73.806973,R3
S.B. Durga S.Cafe House,4,cafe,1,518,Aundh,18.5559215,73.8089752,R3
S.S. TOURS AND TRAVELS,0,travel_agency,2,0,Aundh,18.562341,73.811851,R3
Salon Apple Women Aundh,4.6,beauty_salon,2,244,Aundh,18.5606089,73.8050455,R3
Samruddhi Travels,3.7,travel_agency,2,3,Aundh,18.5659707,73.8125333,R3
Samsung Smart Plaza (Suyog Digital Pvt Ltd)Aundh,4.3,electronics_store,2,145,Aundh,18.5602044,73.8089247,R3
Saras Wellness Center,0,spa,2,0,Aundh,18.561678,73.805973,R3
Sattva,0,lodging,2,0,Aundh,18.5635658,73.813265,R3
Satyam Enterprises,0,hardware_store,2,0,Aundh,18.562168,73.814249,R3
Savali Corporate Service Apartments,0,lodging,2,0,Aundh,18.5565683,73.8007109,R3
Shiv Yog Pune,4,gym,2,4,Aundh,18.553275,73.807118,R3
Shoe Shine's Leather Boutique,3.1,shoe_store,2,8,Aundh,18.5660535,73.8071218,R3
Shoppers Stop,4.1,clothing_store,2,2960,Aundh,18.561618,73.806919,R3
Shree Hanuman Super Market,4.3,supermarket,2,46,Aundh,18.5547414,73.8091654,R3
SHREE OM JEWELLERS,4.4,jewelry_store,2,15,Aundh,18.560853,73.8126676,R3
Shreenath Tours And Travels,2.7,travel_agency,2,6,Aundh,18.558007,73.8075201,R3
Shri Radhe Pearls - Jewellery Shop Aundh,4.7,jewelry_store,2,77,Aundh,18.5628941,73.8076597,R3
Shubhyatra Holidays,5,travel_agency,2,1,Aundh,18.555188,73.811558,R3
Sky Garage,3.9,night_club,2,377,Aundh,18.5537036,73.8069737,R3
Small Animal Clinic,4.2,pet_store,2,200,Aundh,18.546679,73.819685,R3
SmartSaloons For Men,4.2,beauty_salon,2,64,Aundh,18.5640962,73.8024612,R3
SOCH,3.9,clothing_store,2,196,Aundh,18.5617608,73.8069828,R3
SP Electronics,0,electronics_store,2,0,Aundh,18.567186,73.817709,R3
Spicer Adventist University,4.4,university,2,154,Aundh,18.5645778,73.8182556,R3
Sun Control Films,3,car_repair,2,2,Aundh,18.5660453,73.8125195,R3
Surekh Enterprises,5,furniture_store,2,2,Aundh,18.5639535,73.8102933,R3
Suryaman House Pushpak Park,3,lodging,2,6,Aundh,18.5550421,73.809683,R3
Suyog Enterprises And Book Store,4,book_store,2,1,Aundh,18.5652436,73.8009638,R3
"Swami Jagannath-astrologer famous best top astrologer in pune , best top astrologer in Mumbai",4.5,jewelry_store,2,128,Aundh,18.5646587,73.8077399,R3
Swasthya Medical Yoga Therapy & Institute,5,gym,2,124,Aundh,18.5632193,73.8102874,R3
Sybarite Unisex Salon,4.7,beauty_salon,2,352,Aundh,18.5668218,73.8076733,R3
"Synergy, Aundh",5,university,2,87,Aundh,18.5605696,73.8090747,R3
Sys Tech Computer,0,electronics_store,2,0,Aundh,18.5634171,73.8024574,R3
Tangent - The Furniture Mall,3.8,furniture_store,2,352,Aundh,18.5655196,73.8042573,R3
Tanishq Jewellery - Aundh,4.3,jewelry_store,2,1809,Aundh,18.5535672,73.8093093,R3
"Tea Trails Dining Caf̩, Aundh",4.1,cafe,3,869,Aundh,18.5619695,73.8069656,R3
The Beauty Works,4.4,beauty_salon,2,39,Aundh,18.560428,73.812048,R3
The Brands Inc. Store,3.6,clothing_store,2,5,Aundh,18.553203,73.8082103,R3
The Burger Barn Cafe,4.1,night_club,2,597,Aundh,18.5518657,73.804246,R3
The Four Fountains Spa,4.1,spa,2,140,Aundh,18.5595832,73.8093695,R3
The Lounge - Iti Road,4.1,cafe,2,299,Aundh,18.5558618,73.8094686,R3
The Marine House,4.3,night_club,2,57,Aundh,18.5682495,73.8178592,R3
